,Time Window,Mac,RSSI,Frame_length,MAC Period,Occurrences,Fingerprint,No.,latitude,longitude,gnss_altitude,Classification,utm_x,utm_y,distance
67,1085.0,76:55:a4:fc:0e:90,-92.0,19.0,10.6,1.2,a,26116813,58.66514206,16.455566405000003,212.5999985,13.0,584431.9815043672,6503682.489322307,84.31909292866256
78,1090.0,c5:7b:cc:06:8a:51,-97.0,28.0,10.6,1.4,a,26116955,58.66524886999999,16.45561218,209.1000061,1.0,584434.378393278,6503694.437918315,129.1549665014884
76,1090.0,76:55:a4:fc:0e:90,-92.5,19.0,10.6,1.2,a,26116957,58.66524887,16.45561218,209.1000061,13.0,584434.3783932779,6503694.437918317,87.99225435691069
82,1090.0,f5:f7:c7:9e:a5:1f,-96.0,48.285714285714285,10.6,1.4,a,26116961,58.66524886999999,16.45561218,209.1000061,12.0,584434.378393278,6503694.437918315,118.59710123376694
81,1090.0,df:95:52:c1:64:87,-98.0,8.0,10.6,0.2,a,26116973,58.66524887,16.45561218,209.1000061,8.0,584434.3783932779,6503694.437918317,140.6527242105238
75,1090.0,5e:56:88:7a:1d:09,-94.0,17.0,10.6,0.2,a,26116974,58.66524887,16.45561218,209.1000061,49.0,584434.3783932779,6503694.437918317,100.0
73,1090.0,52:d9:e5:be:00:d9,-95.0,17.0,10.6,0.4,a,26116977,58.66524887,16.45561218,209.1000061,0.0,584434.3783932779,6503694.437918317,108.90229622637305
74,1090.0,57:47:61:34:88:9a,-100.0,17.0,10.6,0.2,a,26116978,58.66524887,16.45561218,209.1000061,47.0,584434.3783932779,6503694.437918317,166.81005372000593
80,1090.0,d0:60:03:0f:d6:75,-97.5,8.0,10.6,0.4,a,26116979,58.66524887,16.45561218,209.1000061,14.0,584434.3783932779,6503694.437918317,134.78129649084582
79,1090.0,d0:46:7a:34:82:2b,-97.0,8.0,10.6,0.2,a,26116985,58.66524887,16.45561218,209.1000061,39.0,584434.3783932779,6503694.437918317,129.1549665014884
77,1090.0,c1:8c:19:46:d3:df,-100.0,8.0,10.6,0.2,a,26116986,58.66524887,16.45561218,209.1000061,64.0,584434.3783932779,6503694.437918317,166.81005372000593
72,1090.0,44:20:a9:69:0c:92,-96.0,18.0,10.6,0.2,a,26116989,58.66513062,16.45612717,203.1000061,16.0,584464.5338315738,6503681.921768194,118.59710123376694
83,1095.0,1b:b2:42:44:72:86,-98.0,31.0,10.6,0.2,a,26116992,58.66489029,16.45610237,204.0,6.0,584463.6763240045,6503655.135018146,140.6527242105238
90,1105.0,d0:60:03:0f:d6:75,-96.0,8.0,10.6,0.2,a,26117158,58.66477966,16.45606041,201.8999939,14.0,584461.5100014777,6503642.765934317,118.59710123376694
86,1105.0,7e:d0:6d:e2:84:d7,-93.0,17.0,10.6,1.0,a,26117179,58.66462936200001,16.456031038,203.08000488,61.0,584460.1696611219,6503625.996534192,91.82542835656287
89,1105.0,c6:86:5b:f6:89:b6,-100.0,27.0,10.6,0.2,a,26117180,58.66466522,16.45603943,203.1000061,22.0,584460.5697398273,6503629.99911014,166.81005372000593
92,1105.0,f5:f7:c7:9e:a5:1f,-96.5,42.5,10.6,0.4,a,26117182,58.664575575,16.456018450000002,203.05000305,12.0,584459.5695411264,6503619.99267039,123.76350284724813
87,1105.0,c1:8c:19:46:d3:df,-96.0,8.0,10.6,0.2,a,26117184,58.66466522,16.45603943,203.1000061,64.0,584460.5697398273,6503629.99911014,118.59710123376694
84,1105.0,58:6e:74:23:fd:d5,-94.0,39.0,10.6,0.2,a,26117185,58.66466522,16.45603943,203.1000061,53.0,584460.5697398273,6503629.99911014,100.0
85,1105.0,60:18:fc:6c:6b:20,-95.0,17.0,10.6,0.4,a,26117187,58.664575575,16.456018450000002,203.05000305,7.0,584459.5695411264,6503619.99267039,108.90229622637305
91,1105.0,ed:aa:7a:08:7c:b6,-92.0,8.0,10.6,0.2,a,26117189,58.66466522,16.45603943,203.1000061,18.0,584460.5697398273,6503629.99911014,84.31909292866256
88,1105.0,c5:7b:cc:06:8a:51,-97.0,28.0,10.6,0.2,a,26117191,58.66448593,16.45599747,203.0,1.0,584458.569335966,6503609.986231063,129.1549665014884
96,1110.0,5a:8c:28:43:c6:5c,-99.5,31.0,10.6,0.4,a,26117195,58.6644516,16.45598793,203.8000031,35.0,584458.0989731064,6503606.152319445,159.84671064343198
101,1110.0,7e:d0:6d:e2:84:d7,-93.0,17.0,10.6,1.0,a,26117196,58.66445159999999,16.45598793,203.8000031,61.0,584458.0989731064,6503606.152319443,91.82542835656287
94,1110.0,44:20:a9:69:0c:92,-95.5,18.0,10.6,0.4,a,26117197,58.6644516,16.45598793,203.8000031,16.0,584458.0989731064,6503606.152319445,113.64636663857242
