"row_id","rssi","fingerprint","created_at","network_time","frame_length","type","json_time","mac","sniffer_id","location","payload","ssid","gnss_time","gnss_speed","gnss_altitude","gnss_accuracy","gnss_vsat","gnss_usat","time"
18273576,-81,"","2024-01-25 13:42:25.130177","2024-01-25 13:42:09.414302",0,"arrival_0","2024-01-25 13:42:10.59314","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000003804F99F1D413240EE92FE7F98B24D40","binary data",NULL,"2024-01-25 12:42:10","9.069999695","75.30000305","0.600000024",13,10,"2634.385350"
18273553,-81,"","2024-01-25 13:42:09.314288","2024-01-25 13:41:59.414302",0,"arrival_0","2024-01-25 13:41:59.608551","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000F75C01E0334132403188FEBFA0B24D40","binary data",NULL,"2024-01-25 12:42:00","12.96000004","77.59999847","0.600000024",13,10,"2618.569461"
18272587,-82,"","2024-01-25 13:41:24.32703","2024-01-25 13:41:12.414302",0,"arrival_0","2024-01-25 13:41:13.31127","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000001901F47F37413240900BF75FA1B24D40","binary data",NULL,"2024-01-25 12:41:13","0","74","0.600000024",13,10,"2573.582203"
18273560,-82,"","2024-01-25 13:42:09.314288","2024-01-25 13:42:04.414301",0,"arrival_0","2024-01-25 13:42:04.811949","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000454308C026413240D466F73F9BB24D40","binary data",NULL,"2024-01-25 12:42:05","12.96000004","76.40000153","0.600000024",13,10,"2618.569461"
18301597,-82,"","2024-01-25 13:59:52.74811","2024-01-25 13:58:38.414306",0,"arrival_0","2024-01-25 13:58:38.878757","E9:4A:DB:FB:37:F3","B4:8A:0A:31:5E:EC","0101000020E6100000C66AF3FFAA4032409DE0F65F42B24D40","binary data",NULL,"2024-01-25 12:58:30","0","19.89999962","0.600000024",12,10,"3682.003283"
18265820,-82,"","2024-01-25 13:34:18.250813","2024-01-25 13:34:06.414301",0,"arrival_0","2024-01-25 13:34:06.53705","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000003DA009A05A413240E30B070096B24D40","binary data",NULL,"2024-01-25 12:34:07","8.520000458","102.9000015","0.699999988",13,10,"2147.505986"
18273564,-82,"","2024-01-25 13:42:09.314288","2024-01-25 13:42:06.414301",0,"arrival_0","2024-01-25 13:42:06.794551","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000008375F3BF22413240166006009AB24D40","binary data",NULL,"2024-01-25 12:42:07","9.449999809","76.80000305","0.600000024",13,10,"2618.569461"
18273575,-83,"","2024-01-25 13:42:25.130177","2024-01-25 13:42:08.414301",0,"arrival_0","2024-01-25 13:42:08.419842","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E610000097340C401F413240A62C010099B24D40","binary data",NULL,"2024-01-25 12:42:09","8.149999619","75.59999847","0.600000024",13,10,"2634.385350"
18265644,-84,"","2024-01-25 13:34:07.109213","2024-01-25 13:34:02.414302",0,"arrival_0","2024-01-25 13:34:03.33367","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000F5390C205B4132406DBEF83F93B24D40","binary data",NULL,"2024-01-25 12:34:03","6.480000019","102.3000031","0.699999988",13,10,"2136.364386"
18265639,-84,"","2024-01-25 13:34:07.109213","2024-01-25 13:34:01.414301",0,"arrival_0","2024-01-25 13:34:01.608059","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000F5390C205B4132408B04094092B24D40","binary data",NULL,"2024-01-25 12:34:01","6.670000076","102.5","0.699999988",13,10,"2136.364386"
18272623,-84,"","2024-01-25 13:41:35.528607","2024-01-25 13:41:23.414302",0,"arrival_0","2024-01-25 13:41:24.249444","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E610000084C70AC037413240900BF75FA1B24D40","binary data",NULL,"2024-01-25 12:41:24","0","75.09999847","0.600000024",12,10,"2584.783780"
18283963,-84,"","2024-01-25 13:49:16.005169","2024-01-25 13:49:13.414301",0,"arrival_0","2024-01-25 13:49:13.862919","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000001F420180084132405A550640A2B24D40","binary data",NULL,"2024-01-25 12:49:14","7.21999979","92.30000305","0.600000024",10,10,"3045.260342"
18273986,-85,"","2024-01-25 13:42:36.578641","2024-01-25 13:42:20.414304",0,"arrival_0","2024-01-25 13:42:21.163296","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000006AB3FB9F0D4132406DBEF83F93B24D40","binary data",NULL,"2024-01-25 12:42:19","0.930000007","74.59999847","0.600000024",13,10,"2645.833814"
18273587,-85,"","2024-01-25 13:42:25.130177","2024-01-25 13:42:17.414301",0,"arrival_0","2024-01-25 13:42:17.759269","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000A583F57F0E4132407F6E05A093B24D40","binary data",NULL,"2024-01-25 12:42:18","10.56000042","74.69999695","0.600000024",13,10,"2634.385350"
18284722,-85,"","2024-01-25 13:49:48.90741","2024-01-25 13:49:42.414301",0,"arrival_0","2024-01-25 13:49:42.8462","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E610000025AFEF3F09413240F71D058091B24D40","binary data",NULL,"2024-01-25 12:49:43","7.21999979","95.80000305","0.600000024",11,10,"3078.162583"
18272590,-85,"","2024-01-25 13:41:24.32703","2024-01-25 13:41:15.414301",0,"arrival_0","2024-01-25 13:41:15.608873","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000001901F47F37413240C56E0280A1B24D40","binary data",NULL,"2024-01-25 12:41:15","0","74.59999847","0.600000024",13,10,"2573.582203"
18273096,-85,"","2024-01-25 13:41:46.82265","2024-01-25 13:41:43.414302",0,"arrival_0","2024-01-25 13:41:43.666796","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000149405C03641324048A5F9DFA1B24D40","binary data",NULL,"2024-01-25 12:41:44","0","74.80000305","0.600000024",12,10,"2596.077823"
18270677,-85,"","2024-01-25 13:40:17.032143","2024-01-25 13:40:12.414302",0,"arrival_0","2024-01-25 13:40:13.153184","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000003284EF3F2A413240CADFFFBF98B24D40","binary data",NULL,"2024-01-25 12:40:13","9.069999695","69.59999847","0.600000024",14,10,"2506.287316"
18265643,-85,"","2024-01-25 13:34:07.109213","2024-01-25 13:34:02.414302",0,"arrival_0","2024-01-25 13:34:02.982346","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000F5390C205B4132406DBEF83F93B24D40","binary data",NULL,"2024-01-25 12:34:03","6.480000019","102.3000031","0.699999988",13,10,"2136.364386"
18273561,-85,"","2024-01-25 13:42:09.314288","2024-01-25 13:42:04.414301",0,"arrival_0","2024-01-25 13:42:04.857462","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000454308C026413240D466F73F9BB24D40","binary data",NULL,"2024-01-25 12:42:05","12.96000004","76.40000153","0.600000024",13,10,"2618.569461"
18283632,-86,"","2024-01-25 13:49:04.957064","2024-01-25 13:48:54.414308",0,"arrival_0","2024-01-25 13:48:54.568583","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000003EDBF67F06413240DD340920ADB24D40","binary data",NULL,"2024-01-25 12:48:55","7.21999979","90.80000305","0.600000024",10,10,"3034.212237"
18273085,-86,"","2024-01-25 13:41:46.82265","2024-01-25 13:41:38.414301",0,"arrival_0","2024-01-25 13:41:39.412603","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E610000049F710E0364132406C58F89FA1B24D40","binary data",NULL,"2024-01-25 12:41:39","0","75.30000305","0.600000024",11,10,"2596.077823"
18286335,-86,"","2024-01-25 13:50:50.539282","2024-01-25 13:50:39.414636",0,"arrival_0","2024-01-25 13:50:40.274248","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000BFEEF81F2E413240F41208E08BB24D40","binary data",NULL,"2024-01-25 12:50:40","7.21999979","91.30000305","0.600000024",12,10,"3139.794455"
18273984,-86,"","2024-01-25 13:42:36.578641","2024-01-25 13:42:18.414309",0,"arrival_0","2024-01-25 13:42:19.138703","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000006AB3FB9F0D4132406DBEF83F93B24D40","binary data",NULL,"2024-01-25 12:42:19","0.930000007","74.59999847","0.600000024",13,10,"2645.833814"
18273578,-86,"","2024-01-25 13:42:25.130177","2024-01-25 13:42:11.414302",0,"arrival_0","2024-01-25 13:42:11.978663","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000045D14A01A413240D675036097B24D40","binary data",NULL,"2024-01-25 12:42:12","8.329999924","74.90000153","0.600000024",13,10,"2634.385350"
18273991,-86,"","2024-01-25 13:42:36.578641","2024-01-25 13:42:22.414307",0,"arrival_0","2024-01-25 13:42:23.356687","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000006AB3FB9F0D4132406DBEF83F93B24D40","binary data",NULL,"2024-01-25 12:42:19","0.930000007","74.59999847","0.600000024",13,10,"2645.833814"
18265646,-86,"","2024-01-25 13:34:07.109213","2024-01-25 13:34:02.414302",0,"arrival_0","2024-01-25 13:34:03.137023","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000F5390C205B4132406DBEF83F93B24D40","binary data",NULL,"2024-01-25 12:34:03","6.480000019","102.3000031","0.699999988",13,10,"2136.364386"
18273118,-87,"","2024-01-25 13:41:58.27796","2024-01-25 13:41:50.414301",0,"arrival_0","2024-01-25 13:41:50.748894","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000002697F71F36413240A1BB03C0A1B24D40","binary data",NULL,"2024-01-25 12:41:51","0","76.40000153","0.600000024",12,10,"2607.533133"
18287130,-87,"","2024-01-25 13:51:24.272221","2024-01-25 13:51:13.414301",0,"arrival_0","2024-01-25 13:51:13.613178","E9:4A:DB:FB:37:F3","B4:8A:0A:31:5E:EC","0101000020E6100000364B13002D4132407A54FCDF91B24D40","binary data",NULL,"2024-01-25 12:51:14","0","91.69999695","0.600000024",12,10,"3173.527394"
18232767,-87,"","2024-01-25 13:09:45.243823","2024-01-25 13:09:39.414302",0,"arrival_0","2024-01-25 13:09:39.549529","66:8C:D9:93:F9:FE","B4:8A:0A:31:5E:EC","0101000020E6100000C9F7F7DF6B413240921A03809DB24D40","binary data",NULL,"2024-01-25 12:09:40","16.11000061","92.5","0.600000024",15,10,"674.498996"
18283957,-87,"","2024-01-25 13:49:16.005169","2024-01-25 13:49:05.414301",0,"arrival_0","2024-01-25 13:49:05.42574","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000009D0B0A2008413240454308C0A6B24D40","binary data",NULL,"2024-01-25 12:49:06","7.590000153","91.80000305","0.600000024",10,10,"3045.260342"
18265650,-87,"","2024-01-25 13:34:07.109213","2024-01-25 13:34:03.414301",0,"arrival_0","2024-01-25 13:34:04.80631","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000C0D600005B4132405BBB06E093B24D40","binary data",NULL,"2024-01-25 12:34:04","7.039999962","102.0999985","0.699999988",13,10,"2136.364386"
18273081,-87,"","2024-01-25 13:41:46.82265","2024-01-25 13:41:37.414302",0,"arrival_0","2024-01-25 13:41:38.288799","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000149405C0364132406C58F89FA1B24D40","binary data",NULL,"2024-01-25 12:41:38","0","75.09999847","0.600000024",11,10,"2596.077823"
